datetime,Actual,ARIMA,LSTM
2015-12-09,14.968,82.8599758167245,168.41853
2015-12-10,15.138,82.85616716625147,157.18272
2015-12-11,14.468,82.85235851577843,163.53772
2015-12-14,14.572,82.8485498653054,174.60901
2015-12-15,14.73933,82.84474121483237,191.28246
2015-12-16,15.634,82.84093256435933,188.46951
2015-12-17,15.55933,82.8371239138863,185.07744
2015-12-18,15.364,82.83331526341327,186.18259
2015-12-21,15.504,82.82950661294024,182.67293
2015-12-22,15.33,82.8256979624672,183.3182
2015-12-23,15.31333,82.82188931199417,186.07068
2015-12-24,15.37133,82.81808066152114,189.82126
2015-12-28,15.26333,82.8142720110481,200.95877
2015-12-29,15.81267,82.81046336057507,200.4179
2015-12-30,15.87267,82.80665471010204,193.7604
2015-12-31,16.00066757,82.802846059629,171.13005
2016-01-04,14.894,82.79903740915597,167.79382
2016-01-05,14.89533,82.79522875868294,158.91794
2016-01-06,14.60267,82.7914201082099,151.22305
2016-01-07,14.37667,82.78761145773687,143.37419
2016-01-08,14.066667,82.78380280726384,138.92369
2016-01-11,13.85667,82.7799941567908,137.39577
2016-01-12,13.998,82.77618550631777,128.38045
2016-01-13,13.354,82.77237685584474,135.128
2016-01-14,13.74533,82.76856820537171,132.51901
2016-01-15,13.666,82.76475955489867,129.3539
2016-01-19,13.648,82.76095090442564,122.90568
2016-01-20,13.24667,82.75714225395261,124.621796
2016-01-21,13.33133,82.75333360347958,123.281494
2016-01-22,13.50333,82.74952495300654,112.77366
2016-01-25,13.092,82.74571630253351,107.12355
2016-01-26,12.904,82.74190765206048,102.610535
2016-01-27,12.538,82.73809900158744,106.32456
2016-01-28,12.64667,82.73429035111441,108.07483
2016-01-29,12.74667,82.73048170064138,104.12111
2016-02-01,13.12933,82.72667305016834,78.17016
2016-02-02,12.18533,82.72286439969531,61.885517
2016-02-03,11.56533,82.71905574922228,50.919144
2016-02-04,11.68867,82.71524709874924,28.398901
2016-02-05,10.84,82.71143844827621,18.751692
2016-02-08,9.866,82.70762979780318,19.321535
2016-02-09,9.88333,82.70382114733015,20.51762
2016-02-10,9.578,82.70001249685711,26.76309
2016-02-11,10.031333,82.69620384638408,32.318398
2016-02-12,10.069333,82.69239519591105,42.146908
2016-02-16,10.34467,82.68858654543801,55.54817
2016-02-17,11.24533,82.68477789496498,56.63579
2016-02-18,11.118,82.68096924449195,62.971115
2016-02-19,11.10533,82.67716059401891,76.492455
2016-02-22,11.84933,82.67335194354588,79.343666
2016-02-23,11.814,82.66954329307285,86.9391
2016-02-24,11.93333,82.66573464259982,98.10639
2016-02-25,12.49533,82.66192599212678,101.23622
2016-02-26,12.68933,82.65811734165375,100.7798
2016-02-29,12.79533,82.65430869118072,97.82466
2016-03-01,12.42333,82.65050004070768,105.6435
2016-03-02,12.556,82.64669139023465,117.94579
2016-03-03,13.049333,82.64288273976162,126.2103
2016-03-04,13.40267,82.63907408928858,130.50185
2016-03-07,13.686,82.63526543881555,129.54884
2016-03-08,13.50667,82.63145678834252,135.48228
2016-03-09,13.91467,82.62764813786949,133.8192
2016-03-10,13.67867,82.62383948739645,141.60411
2016-03-11,13.83333,82.62003083692342,154.26436
2016-03-14,14.34333,82.61622218645039,161.95644
2016-03-15,14.556,82.61241353597735,171.24454
2016-03-16,14.79533,82.60860488550432,182.16083
2016-03-17,15.092,82.60479623503129,192.14484
2016-03-18,15.516,82.60098758455825,194.56883
2016-03-21,15.888,82.59717893408522,183.53131
2016-03-22,15.616,82.59337028361219,170.81915
2016-03-23,14.83867,82.58956163313916,178.23878
2016-03-24,15.18333,82.58575298266612,180.00505
2016-03-28,15.35067,82.58194433219309,177.98999
2016-03-29,15.342,82.57813568172006,176.88089
2016-03-30,15.126,82.57432703124702,187.7182
2016-03-31,15.318,82.57051838077399,205.00305
2016-04-01,15.83933,82.56670973030096,223.389
2016-04-04,16.466,82.56290107982792,238.0473
2016-04-05,17.031334,82.55909242935489,244.9052
2016-04-06,17.69467,82.55528377888186,230.21715
2016-04-07,17.14667,82.55147512840882,220.90488
2016-04-08,16.67133,82.54766647793579,220.8126
2016-04-11,16.66133,82.54385782746276,221.61601
2016-04-12,16.52133,82.54004917698973,229.27422
2016-04-13,16.96867,82.53624052651669,226.96457
2016-04-14,16.79067,82.53243187604366,228.8183
2016-04-15,16.96733,82.52862322557063,224.82701
2016-04-18,16.92533,82.5248145750976,218.00981
2016-04-19,16.49133,82.52100592462456,221.67287
2016-04-20,16.66467,82.51719727415153,222.81789
2016-04-21,16.55267,82.5133886236785,229.72061
2016-04-22,16.91667,82.50957997320546,228.61081
2016-04-25,16.788,82.50577132273243,229.81375
2016-04-26,16.916,82.5019626722594,224.57837
2016-04-27,16.76467,82.49815402178636,216.59814
2016-04-28,16.514,82.49434537131333,206.6319
2016-04-29,16.050667,82.4905367208403,200.44221
2016-05-02,16.12,82.48672807036726,180.69359
2016-05-03,15.488,82.48291941989423,161.35533
2016-05-04,14.83733,82.4791107694212,147.64044
2016-05-05,14.102,82.47530211894816,148.38686
2016-05-06,14.32867,82.47149346847513,140.26611
2016-05-09,13.928,82.4676848180021,139.53699
2016-05-10,13.91267,82.46387616752907,138.59729
2016-05-11,13.93067,82.46006751705603,136.17017
2016-05-12,13.81867,82.456258866583,136.2378
2016-05-13,13.84067,82.45245021610997,136.42844
2016-05-16,13.886,82.44864156563693,136.60599
2016-05-17,13.644,82.4448329151639,148.15388
2016-05-18,14.078,82.44102426469087,155.49944
2016-05-19,14.34733,82.43721561421783,160.15324
2016-05-20,14.68533,82.4334069637448,156.53958
2016-05-23,14.41467,82.42959831327177,160.91591
2016-05-24,14.52733,82.42578966279873,165.96275
2016-05-25,14.63867,82.4219810123257,171.7903
2016-05-26,15.0080004,82.41817236185267,167.92139
2016-05-27,14.86933,82.41436371137964,165.47813
2016-05-31,14.882,82.4105550609066,160.33994
2016-06-01,14.63733,82.40674641043357,160.8821
2016-06-02,14.59733,82.40293775996054,165.1242
2016-06-03,14.59933,82.3991291094875,175.28455
2016-06-06,14.712,82.39532045901447,191.08699
2016-06-07,15.48933,82.39151180854144,189.4948
2016-06-08,15.70133,82.3877031580684,174.666
2016-06-09,15.29067,82.38389450759537,159.70003
2016-06-10,14.586,82.38008585712234,157.77809
2016-06-13,14.52467,82.3762772066493,156.21506
2016-06-14,14.33067,82.37246855617627,160.45117
2016-06-15,14.51333,82.36865990570324,160.6513
2016-06-16,14.52867,82.3648512552302,158.68915
2016-06-17,14.36467,82.36104260475717,158.54935
2016-06-20,14.64667,82.35723395428414,143.6978
2016-06-21,14.64067,82.35342530381111,113.41957
2016-06-22,13.11067,82.34961665333807,112.3109
2016-06-23,13.093333,82.34580800286504,112.567986
2016-06-24,12.87667,82.34199935239201,122.758835
2016-06-27,13.23667,82.33819070191898,132.09613
2016-06-28,13.45267,82.33438205144594,144.64682
2016-06-29,14.012667,82.33057340097291,149.06047
2016-06-30,14.152,82.32676475049988,152.94626
2016-07-01,14.43333,82.32295610002684,150.14578
2016-07-05,14.26533,82.31914744955381,152.19806
2016-07-06,14.296,82.31533879908078,156.36821
2016-07-07,14.396,82.31153014860774,162.01877
2016-07-08,14.452,82.30772149813471,171.9625
2016-07-11,14.98533,82.30391284766168,170.11903
2016-07-12,14.97667,82.30010419718865,166.66061
2016-07-13,14.83533,82.29629554671561,165.85219
2016-07-14,14.76867,82.29248689624258,167.67276
2016-07-15,14.69333,82.28867824576955,174.96567
2016-07-18,15.083333,82.28486959529651,173.66545
2016-07-19,15.017333,82.28106094482348,173.69762
2016-07-20,15.224,82.27725229435045,165.754
2016-07-21,14.7,82.27344364387741,172.6315
2016-07-22,14.818,82.26963499340438,182.78122
2016-07-25,15.334,82.26582634293135,182.29837
2016-07-26,15.30067,82.26201769245831,182.95555
2016-07-27,15.23267,82.25820904198528,187.19777
2016-07-28,15.374,82.25440039151225,189.18251
2016-07-29,15.65267,82.25059174103922,181.17868
2016-08-01,15.334,82.24678309056618,177.65244
2016-08-02,15.14667,82.24297444009315,178.49364
2016-08-03,15.052667,82.23916578962012,184.08502
2016-08-04,15.374,82.23535713914708,181.50473
2016-08-05,15.33533,82.23154848867405,177.3487
2016-08-08,15.077333,82.22773983820102,179.17012
2016-08-09,15.272,82.22393118772798,174.30403
2016-08-10,15.043333,82.22012253725495,173.65865
2016-08-11,14.994,82.21631388678192,174.16797
2016-08-12,15.040667,82.21250523630889,172.95023
2016-08-15,15.039333,82.20869658583585,170.3286
2016-08-16,14.90733,82.20488793536282,170.45741
2016-08-17,14.88267,82.20107928488979,171.71085
2016-08-18,14.90067,82.19727063441675,173.20775
2016-08-19,15.0,82.19346198394372,171.55511
2016-08-22,14.862,82.18965333347069,172.93715
2016-08-23,14.98933,82.18584468299765,169.05005
2016-08-24,14.84133,82.18203603252462,165.51358
2016-08-25,14.73067,82.17822738205157,160.80182
2016-08-26,14.666,82.17441873157853,151.87871
2016-08-29,14.34667,82.17061008110551,144.70361
2016-08-30,14.089333,82.16680143063249,138.5696
2016-08-31,14.134,82.16299278015944,123.396736
2016-09-01,13.38467,82.15918412968638,122.05972
2016-09-02,13.18533,82.15537547921335,126.53236
2016-09-06,13.522,82.15156682874034,121.77799
2016-09-07,13.44733,82.14775817826732,115.23446
2016-09-08,13.15733,82.14394952779426,113.21456
2016-09-09,12.96467,82.1401408773212,116.79707
2016-09-12,13.22,82.13633222684818,115.399
2016-09-13,13.07,82.13252357637519,119.25889
2016-09-14,13.094,82.12871492590216,127.1017
2016-09-15,13.36133,82.12490627542907,133.6426
2016-09-16,13.69333,82.121097624956,134.06259
2016-09-19,13.756,82.11728897448302,132.62488
2016-09-20,13.64267,82.11348032401007,134.4663
2016-09-21,13.68133,82.10967167353701,136.79733
2016-09-22,13.762,82.10586302306385,138.1922
