datetime,Portfolio Value,Daily Return,Drawdown
2025-08-06,10000.0,0.0,0.0
2025-08-05,10008.151066431192,0.0008151066431192344,0.0
2025-08-04,10004.075533215595,-0.00040722139269722124,-0.00040722139269722124
2025-08-01,9997.28297785627,-0.0006789788158608756,-0.0010859237138590716
2025-07-31,9944.301046053526,-0.00529963310232362,-0.006379801818922171
2025-07-30,9942.94253498166,-0.00013661202185810684,-0.006515542283154763
2025-07-29,9968.7542453471,0.0025959830577948484,-0.003936473462739287
2025-07-28,9917.13082461622,-0.005178522758244708,-0.009094611103570016
2025-07-25,9933.432957478602,0.0016438356164383272,-0.007465725532781464
2025-07-24,9908.979758185029,-0.002461706783369766,-0.009909053888964348
2025-07-23,9921.206221980707,0.0012338771593087827,-0.00868740328491957
2025-07-22,9941.584023909794,0.0020539641524575103,-0.006651282747387133
2025-07-21,9925.281619345194,-0.0016398196228479822,-0.008280195466268903
2025-07-18,9896.75315853824,-0.002874322553362063,-0.011130718067056011
2025-07-17,9880.451025675859,-0.0016472203157170684,-0.012759603637844563
2025-07-16,9877.734003532127,-0.00027498968788686184,-0.013031084566309414
2025-07-15,9858.714848526013,-0.0019254572961078242,-0.014931451065562928
2025-07-14,9888.60209210705,0.0030315557392863735,-0.011945160852450232
2025-07-11,9889.960603178915,0.00013738150844888608,-0.011809420388217862
2025-07-10,9930.715663632658,0.004120851648351742,-0.007737233609338978
2025-07-09,9929.35688085858,-0.00013682626913325002,-0.007873001221664011
2025-07-08,9889.960603178917,-0.003967656531271402,-0.01180942038821764
2025-07-07,9895.394647466377,0.0005494505494505475,-0.01126645853128816
2025-07-03,9927.999184893359,0.003294920373421384,-0.008008660241617838
2025-07-02,9952.452112484718,0.0024630267525169725,-0.005565359033527839
2025-07-01,9963.32020105964,0.001092001092001027,-0.0044794353196687675
2025-06-30,10002.71702214373,0.003954185983092273,-0.0005429618569295913
2025-06-27,9963.32020105964,-0.003938611978812845,-0.0044794353196687675
2025-06-26,9986.41488928135,0.0023179710935370412,-0.002171847427718032
2025-06-25,9957.88615677218,-0.002856754183104382,-0.005022397176598137
2025-06-24,9955.169134628448,-0.00027285129604381897,-0.005293878105063099
2025-06-23,9925.281619345198,-0.00300221069869,-0.008280195466268458
2025-06-20,9900.828691753837,-0.0024637011350590043,-0.010723496674358679
2025-06-18,9894.036136394512,-0.0006860592755212336,-0.01140219899552053
2025-06-17,9888.602092107052,-0.0005492242207880693,-0.01194516085245001
2025-06-16,9857.356337454152,-0.003159774694326156,-0.015067191529794965
2025-06-13,9876.375492460264,0.0019294377067253787,-0.013166825030541673
2025-06-12,9911.696780328759,0.003576341127922822,-0.009637572960499607
2025-06-11,9875.016981388399,-0.0037006578947367252,-0.013302565494774043
2025-06-10,9843.771226735496,-0.003164121612326487,-0.01642459617211911
2025-06-09,9824.752071729383,-0.0019321004692244292,-0.018324962671372513
2025-06-06,9809.808449938866,-0.001521017699114946,-0.019818107777928695
2025-06-05,9862.79038174161,0.00540091400083087,-0.014524229672865596
2025-06-04,9881.809536747722,0.0019283746556473247,-0.012623863173612415
2025-06-03,9820.676538513788,-0.006186417376958908,-0.018732184064069624
2025-06-02,9831.544627088708,0.0011066537557060663,-0.017646260350210774
2025-05-30,9885.885069963317,0.005527152134862545,-0.012216641780915305
2025-05-29,9866.865914957203,-0.0019238697265356874,-0.014117008280168708
2025-05-28,9831.544627088708,-0.0035797879664050125,-0.017646260350210774
2025-05-27,9853.280804238551,0.0022108608539450625,-0.01547441292249252
2025-05-23,9807.091427795134,-0.004687715428098649,-0.020089588706393657
2025-05-22,9792.14807770683,-0.0015237290483447463,-0.021582706664857176
2025-05-21,9764.97758456731,-0.0027747224535316084,-0.024297543097597796
2025-05-20,9826.110582801246,0.006260434056761355,-0.018189222207140365
2025-05-19,9843.771226735495,0.001797317848748925,-0.016424596172119332
2025-05-16,9846.488248879226,0.0002760143527464898,-0.01615311524365437
2025-05-15,9839.695693519901,-0.0006898454746135929,-0.01683181756481622
2025-05-14,9786.713897568263,-0.0053844953748448665,-0.022125682095832988
2025-05-13,9820.676538513788,0.0034702803516064584,-0.018732184064069624
2025-05-12,9824.752071729383,0.00041499515838983037,-0.018324962671372513
2025-05-09,9858.714848526013,0.003456858407079544,-0.014931451065562928
2025-05-08,9850.563782094821,-0.0008267879288962332,-0.01574589385095726
2025-05-07,9903.545713897567,0.005378568473314083,-0.01045201574589405
2025-05-06,9884.526558891454,-0.0019204389574760672,-0.012352382245147453
2025-05-05,9862.790381741608,-0.0021990104452997983,-0.014524229672865818
2025-05-02,9876.375492460264,0.0013774104683199617,-0.013166825030541673
2025-05-01,9925.281619345196,0.004951829436038446,-0.00828019546626868
2025-04-30,9985.056378209483,0.006022474843210501,-0.0023075878919505133
2025-04-29,9991.848933568808,0.0006802721088434716,-0.001628885570788774
2025-04-28,9966.037223203368,-0.002583276682529001,-0.004207954391204138
2025-04-25,9941.584023909796,-0.002453653217011742,-0.006651282747386911
2025-04-24,9908.979758185029,-0.0032795845859525663,-0.009909053888964348
2025-04-23,9853.280804238555,-0.005621058404167711,-0.015474412922492187
2025-04-22,9832.903138160576,-0.0020681097476905608,-0.01751051988597796
2025-04-21,9815.242494226328,-0.0017960762641614503,-0.019275145920999104
2025-04-17,9869.582937100939,0.005536332179930881,-0.013845527351703413
2025-04-16,9891.319114250784,0.0022023399862356463,-0.011673679923985048
2025-04-15,9864.148892813479,-0.00274687542919938,-0.014388489208632893
2025-04-14,9839.695693519905,-0.0024789973832805012,-0.016831817564815776
2025-04-11,9783.996332020108,-0.0056606792765430125,-0.022397217320483054
2025-04-10,9794.864556446137,0.0011108164861488579,-0.02131128003257754
2025-04-09,9873.658470316535,0.008044410764061372,-0.013438305959006192
2025-04-08,9850.563782094827,-0.0023390203632360773,-0.015745893850956705
2025-04-07,9907.621247113166,0.00579230450972279,-0.010044794353196496
2025-04-04,10028.52873250917,0.012203482791717901,0.0
2025-04-03,10020.37766607798,-0.0008127878623678253,-0.0008127878623678253
2025-04-02,9968.7542453471,-0.005151843817787549,-0.005960444324031422
2025-04-01,9976.90531177829,0.0008176614881436617,-0.005147656461663708
2025-03-31,9978.263822850158,0.00013616557734241752,-0.00501219181793533
2025-03-28,9960.603178915908,-0.0017699115044249591,-0.006773232186399469
2025-03-27,9903.545713897569,-0.005728314238952481,-0.012462747222974802
2025-03-26,9907.621247113166,0.0004115226337448874,-0.012056353291790667
2025-03-25,9929.356880858579,0.0021938296997119355,-0.009888973178000637
2025-03-24,9917.13082461622,-0.0012313039393242464,-0.011108100785695019
2025-03-21,9960.603178915906,0.004383561643835465,-0.00677323218639958
2025-03-20,9968.7542453471,0.0008183306055649098,-0.005960444324031422
2025-03-19,9964.678712131505,-0.00040883074407183084,-0.006366838255215335
2025-03-18,9934.79146855047,-0.0029993183367417187,-0.009347060417231101
2025-03-17,9923.923787528869,-0.0010939012717079422,-0.010430736927661832
2025-03-14,9910.338269256896,-0.001368966405107419,-0.011785424004334799
2025-03-13,9934.79146855047,0.002467443454420737,-0.009347060417231101
2025-03-12,9904.904224969434,-0.0030083413099959433,-0.012327282579246868
2025-03-11,9925.281619345198,0.002057303524893639,-0.01029534001625576
2025-03-10,9963.320201059641,0.0038324939455927076,-0.0065023028989431575
2025-03-07,9917.130824616223,-0.004635942187073971,-0.011108100785694797
2025-03-06,9927.999184893359,0.001095917808219271,-0.010024356542942203
2025-03-05,9936.149979622334,0.0008209906726601712,-0.009211595773503167
2025-03-04,9971.471267490831,0.003554826360404828,-0.005689515036575332
