,TSLA,BND,SPY
Annualized Return,-0.1124989787288297,0.010949863839201768,-0.09365123150545841
Annualized Volatility,0.5912391732967243,0.05559470917607573,0.18415143753862326
Sharpe Ratio,-0.1902765983883311,0.19695873944626843,-0.5085555277613097
VaR (95%),-0.056300353542842047,-0.0046367032172550905,-0.01578706669778698
