,Return,Volatility,Sharpe Ratio,Weights
Min Volatility,0.005085754664678415,0.05460105518330066,-0.2731493976673733,"{'TSLA': 0.0, 'SPY': 0.056061642138649045, 'BND': 0.9439383578613509}"
Max Sharpe,0.010949863839201514,0.05559470917607629,-0.1627877237766534,"{'TSLA': 0.0, 'SPY': 0.0, 'BND': 1.0}"
